_id,title,publisher,writers,price,page,image,isbn
64bd8c58429d7849d7d3652b,Coğrafya ve Kültür\nMekan-Kültür-Tarih-Coğrafi-İşaret,EDGE AKADEMİ YAYINCILIK,Murat Tanrıkulu,"30,00",384,https://img.kitapyurdu.com/v1/getImage/fn:89577/wh:true/wi:800,9786055152147
64bd8c5a429d7849d7d3652c,Matematik Tarihi,İLETİŞİM YAYINLARI,Marcel Boll,"72,96",126,https://img.kitapyurdu.com/v1/getImage/fn:240936/wh:true/wi:800,9789754701500
64bd8c5e429d7849d7d3652d,Organik Kimya 11. Basımdan Çeviri (Ciltli),LİTERATÜR - DERS KİTAPLARI,"Graham Solomons, Graig Fryhle, Scott Snyder","1.349,97",1248,https://img.kitapyurdu.com/v1/getImage/fn:11354074/wh:true/wi:800,9789750407390
64bd8c60429d7849d7d3652e,Jeomorfoloji ve İnsan\nUygulamalı Jeomorfoloji,YEDİTEPE YAYINEVİ,"Barış Taş, Tevfik Erkal","249,60",496,https://img.kitapyurdu.com/v1/getImage/fn:11317427/wh:true/wi:800,9786055200251
64bd8c63429d7849d7d3652f,Yöneylem Araştırması Yönetim Sanatının Bilimsel Gücü,DORA YAYINLARI,Nuray Girginer,"127,58",247,https://img.kitapyurdu.com/v1/getImage/fn:11276810/wh:true/wi:800,9786052472170
64bd8c66429d7849d7d36530,Endüstri Mühendisliğine Giriş\nTemel Bilgiler Elkitabı,NOBEL AKADEMİK YAYINCILIK,Kolektif,"173,23",462,https://img.kitapyurdu.com/v1/getImage/fn:11612865/wh:true/wi:800,9786254272004
64bd8c6a429d7849d7d36531,Kurgusal Mekanın Hayali Sınırları,GECE KİTAPLIĞI,Çağrı Yalçın,"100,94",97,https://img.kitapyurdu.com/v1/getImage/fn:11689269/wh:true/wi:800,9786254306952
64bd8c6d429d7849d7d36532,Türk Akademik Tarihi Bilim Mi Filim Mi?,KDY AKADEMİ (KİTAPYURDU DOĞRUDAN YAYINCILIK),Ercan Özkaynak,"71,40",110,https://img.kitapyurdu.com/v1/getImage/fn:11699103/wh:true/wi:800,9786057269836
64bd8c70429d7849d7d36533,Darwin\nHerkes İçin Evrim,BGST YAYINLARI,Jean-Baptiste de Panafieu,"30,93",110,https://img.kitapyurdu.com/v1/getImage/fn:7929046/wh:true/wi:800,9789756165898
64bd8c73429d7849d7d36534,Gök Bilimi ve Uzay / Eğitici Kartlar,TELESKOP POPÜLER BİLİM,Kolektif,"44,46",98,https://img.kitapyurdu.com/v1/getImage/fn:7928641/wh:true/wi:800,9786052520093
64bd8c76429d7849d7d36535,Yaşam Ağacı\nCanlı Türlerinin İnanılmaz Biyolojik Farklılıkları,İLETİŞİM YAYINLARI,Rochelle Strauss,"56,00",40,https://img.kitapyurdu.com/v1/getImage/fn:42379/wh:true/wi:800,9789750506932
64bd8c79429d7849d7d36536,Varolmanın Hafifliği,ALFA YAYINLARI,Frank Wilczek,"88,00",300,https://img.kitapyurdu.com/v1/getImage/fn:11465443/wh:true/wi:800,9786051069029
64bd8c7c429d7849d7d36537,Örgütsel Davranış Kuramları,NOBEL AKADEMİK YAYINCILIK,Kolektif,"92,95",236,https://img.kitapyurdu.com/v1/getImage/fn:11617145/wh:true/wi:800,9786254270734
64bd8c7f429d7849d7d36538,Afrika Jeopolitiği,NOBEL AKADEMİK YAYINCILIK,Kolektif,"169,00",396,https://img.kitapyurdu.com/v1/getImage/fn:11722007/wh:true/wi:800,9786253971595
64bd8c82429d7849d7d36539,Benim Adım Graham Bell\nYardımlaşmanın Önemi,PANAMA YAYINCILIK,Serhat Filiz,"31,85",60,https://img.kitapyurdu.com/v1/getImage/fn:5177696/wh:true/wi:800,9789752444829
64bd8c85429d7849d7d3653a,Yeryüzünü Öpmek,YELKOVAN KİTAP,Josh Tickell,"74,61",360,https://img.kitapyurdu.com/v1/getImage/fn:11426781/wh:true/wi:800,9786057052100
