"_id,title,publisher,writers,price,page,image,isbn";
"64bd2c5b59faae5ec995c2d9,Yaratılıştaki Çatlak - Gen Düzenlemenin Evrime Hükmeden İnanılmaz Gücü,koç üniversitesi yayınları,Jennifer A. Doudna,""73,70"",248,https://asset.kitapsepeti.com/yaratilistaki-catlak-gen-duzenlemenin-evrime-hukmeden-inanilmaz-gucu-451394-35-O.jpg,9786052116777";
"64bd2c5e59faae5ec995c2da,Kimya mı Dediniz?,bilge kültür sanat,Nicolas Gerber,""90,00"",164,https://asset.kitapsepeti.com/kimya-mi-dediniz-396298-28-O.jpg,9786057931474";
"64bd2c6259faae5ec995c2db,SPSS AMOS META Uygulamalı Biyoistatistik,nobel akademik yayıncılık,Yalçın Karagöz,""304,15"",1296,https://asset.kitapsepeti.com/spss-amos-meta-uygulamali-biyoistatistik-347051-24-O.jpg,9786254395833";
"64bd2c6559faae5ec995c2dc,Uçak ve Uzay Mühendisleri İçin Uçuşa Başlangıç,nobel akademik yayıncılık,John D. Anderson,""338,80"",944,https://asset.kitapsepeti.com/ucak-ve-uzay-muhendisleri-icin-ucusa-baslangic-179218-20-O.jpg,9786053203803";
"64bd2c6859faae5ec995c2dd,Paralel Dünyalar,odtü geliştirme vakfı yayıncılık,Michio Kaku,""80,60"",442,https://asset.kitapsepeti.com/paralel-dunyalar-233385-18-O.jpg,9786059856867";
"64bd2c6b59faae5ec995c2de,Kozmik Dokunuş,destek yayınları,Erhan Kolbaşı,""63,70"",272,https://asset.kitapsepeti.com/kozmik-dokunus-628723-15-O.jpg,9786053113270";
"64bd2c6e59faae5ec995c2df,İFA: İnsanın Fabrika Ayarları 3. Kitap - Sınırları Aşmak,tuti kitap,Sinan Canan,""90,45"",168,https://asset.kitapsepeti.com/ifa-insanin-fabrika-ayarlari-3-kitap-sinirlari-asmak-174843-79-O.jpg,9786059218733";
"64bd2c7159faae5ec995c2e0,İnanan Beyin,alfa yayınları,Michael Shermer,""107,25"",436,https://asset.kitapsepeti.com/inanan-beyin-370545-54-O.jpg,9786051063850";
"64bd2c7459faae5ec995c2e1,İFA: İnsanın Fabrika Ayarları 1. Kitap - Beden,tuti kitap,Sinan Canan,""90,45"",184,https://asset.kitapsepeti.com/ifa-insanin-fabrika-ayarlari-1-kitap-beden-240558-30-O.jpg,9786059218603";
"64bd2c7759faae5ec995c2e2,İnsan Beynine Olağandışı Yolculuklar,alfa yayınları,Allan Ropper,""81,25"",272,https://asset.kitapsepeti.com/insan-beynine-olagandisi-yolculuklar-816428-42-O.jpg,9786254497971";
"64bd2c7a59faae5ec995c2e3,Dakikalar İçinde Beyin,kronik kitap,Rita Carter,""37,20"",416,https://asset.kitapsepeti.com/dakikalar-icinde-beyin-816083-42-O.jpg,9786256989665";
"64bd2c7d59faae5ec995c2e4,Bilime Neden Güvenmeliyiz?,optimist kitap,Naomi Oreskes,""80,40"",336,https://asset.kitapsepeti.com/bilime-neden-guvenmeliyiz-798220-41-O.jpg,9786254342899";
"64bd2c8159faae5ec995c2e5,National Geographic Kozmos Serisi 4 Kitap,beta kitap,Ann Druyan,""143,64"",336,https://asset.kitapsepeti.com/national-geographic-kozmos-serisi-4-kitap-687085-39-O.jpg,9780000526656";
"64bd2c8459faae5ec995c2e6,Dakikalar İçinde Genetik,kronik kitap,Tom Jackson,""37,20"",416,https://asset.kitapsepeti.com/dakikalar-icinde-genetik-643050-39-O.jpg,9786258431797";
